,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
14,fNMVV_ZX7CJSDWQGdOM8Nw,"""Showmars Government Center""",Uptown,"""600 E 4th St""",Charlotte,NC,28202,35.2216474,-80.8393449,3.5,7,1,Restaurants;American (Traditional)
103,c7X2SdKxVJMaOnFROO8WEg,"""Finga Lickin' Caribbean Eatery""",,"""2838 The Plz""",Charlotte,NC,28205,35.236823,-80.801084,4.5,21,1,Pizza;Food;Internet Cafes;Restaurants;Caribbean
126,WUiDaFQRZ8wKYGLvmjFjAw,"""China Buffet""",University City,"""8630 University Executive Park Dr""",Charlotte,NC,28262,35.306173,-80.752672,3.5,76,1,Buffets;Restaurants;Sushi Bars;Chinese
128,5q6Xh-UcJa78bp6dzyaE7w,"""Duck Donuts""",Dilworth,"""1710 Kenilworth Ave, Ste 220""",Charlotte,NC,28203,35.2026242,-80.8444191,4.5,373,1,Breakfast & Brunch;Food;Coffee & Tea;Donuts;Restaurants
161,bA21m-qbgN_GNR6g-AlfYw,"""Dynasty Buffett""",,"""2932 E Franklin Blvd""",Gastonia,NC,28056,35.2627353,-81.125895,3.5,30,1,Restaurants;Chinese
206,nSD-uxCMb745bH3dxoko9Q,"""Taco Bell""",,"""2453 HWY 160""",Tega Cay,SC,29708,35.04967,-80.99063,4.0,13,1,Tex-Mex;Mexican;Restaurants;Fast Food
254,WZdHNL9F0VWPRGLf1GQcbA,"""Steak 'n Shake""",,"""2656 E Franklin Blvd""",Gastonia,NC,28056,35.2606186789,-81.1305777781,2.5,28,1,Fast Food;Restaurants;Burgers;Breakfast & Brunch;American (New)
265,Mmh4w2g2bSAkdSAFd_MH_g,"""Red Bowl""",,"""845 Stockbridge Dr""",Fort Mill,SC,29708,35.0630611,-80.9937419,3.0,77,1,Restaurants;Asian Fusion
668,bQczh42duSfnETW-73xaTQ,"""Hardee's""",,"""4280 Highway 49 S""",Harrisburg,NC,28075,35.3226435,-80.6481118,2.5,7,1,Restaurants;Fast Food
740,9YiIVnH_QokhOCqho28CPg,"""McDonald's""",Starmount,"""7051 South Blvd""",Charlotte,NC,28210,35.1381328252,-80.8761086511,1.5,5,1,Fast Food;Restaurants;Burgers
776,wtazPNyIbsRMHmrpEYbqZA,"""Golden Krust Caribbean Bakery & Grill""",University City,"""440 E McCullough Dr, Ste 126""",Charlotte,NC,28262,35.302143,-80.7477477,3.0,38,1,Food;Restaurants;Caribbean;Bakeries
825,b6ucK0IXd9L4pBYrysBNLg,"""Captain's Cap of Gastonia Number 1""",,"""3140 Linwood Rd""",Gastonia,NC,28052,35.2321928,-81.2359454,3.0,8,1,Seafood;Restaurants
855,WtqzJcXEt5lc0hSeJ-bAJg,"""Bob Evans""",,"""16706 Northcross Dr""",Huntersville,NC,28078,35.4422202579,-80.8735585213,3.0,24,1,Bed & Breakfast;Breakfast & Brunch;Salad;American (Traditional);Hotels & Travel;Restaurants;Comfort Food
858,om4t1hDJRQqTRS9VT7ADhA,"""Q Tavern""",Uptown,"""201 S McDowell St""",Charlotte,NC,28204,35.2189223729,-80.8361534402,3.0,27,1,Nightlife;Restaurants;Southern;Gastropubs;Bars;Pubs
982,3GGmY_QhqHnIEqk62p7cVA,"""Hwy 55 Burgers Shakes & Fries""",,"""4435 Hwy 49 S""",Harrisburg,NC,28075,35.3219184511,-80.6490468979,3.5,42,1,Food;Fast Food;American (Traditional);Restaurants;Cheesesteaks;Ice Cream & Frozen Yogurt;Burgers
1125,2Ry7PhEAy7nDZyZCBYmJ2A,"""Wendy's""",,"""414 S Highway 27""",Stanley,NC,28164,35.3551972,-81.0919395,2.0,8,1,Restaurants;Burgers;Fast Food
1188,IDW4QFw-fN_wk81G9OV-Mg,"""Nothing But Noodles""",Elizabeth,"""1605 Elizabeth Ave""",Charlotte,NC,28204,35.213744,-80.8262381,4.0,75,1,Asian Fusion;Chinese;American (Traditional);Noodles;Italian;Fast Food;Salad;Food;Gluten-Free;Desserts;Restaurants
1294,Km0sT7E_dc2U1BkyRoy1xA,"""Akahana - Asian Bistro, Bar & Sushi""",,"""940 Market St, Ste 124""",Fort Mill,SC,29708,35.0284830828,-80.9673952684,3.0,122,1,Chinese;Restaurants;Japanese;Asian Fusion
1353,_csgqOCUWhaS4KAwm9Rcag,"""Chick-fil-A""",Steele Creek,"""14111 Rivergate Pkwy""",Charlotte,NC,28273,35.103883,-80.984753,2.5,46,1,Restaurants;Fast Food;Caterers;Event Planning & Services
1378,h5ihGbkb8127_lk9iNnV4Q,"""Arby's""",Myers Park,"""311 S Kings Dr""",Charlotte,NC,28204,35.2126019,-80.833598,3.5,11,1,Fast Food;Restaurants;Sandwiches;Burgers
1452,NgU3L6EE2XVgSO7a5xJ8SA,"""McDonalds""",,"""7810 Lyles Ln NW""",Concord,NC,28027,35.3668718,-80.7123008,2.0,9,1,Restaurants;Fast Food;Burgers
1654,3vkP6t_kKN3JT8MMUaBVEA,"""Original Pancake House""",Myers Park,"""915 Charlottetowne Ave""",Charlotte,NC,28204,35.2135311,-80.8324573,4.0,226,1,Breakfast & Brunch;Kosher;Restaurants;American (Traditional);Creperies
1682,n2WtavwwYZyOr0ImiImquQ,"""Jack in the Box""",Biddleville,"""220 N Hoskins Rd""",Charlotte,NC,28216,35.2660805,-80.882307,2.5,11,1,Fast Food;Restaurants
1698,fOKeVUHC7nb6c8G5sILdHQ,"""Tony's Pizza""",,"""9548 Mt Holly Huntersville Rd""",Huntersville,NC,28078,35.357556,-80.868144,4.5,99,1,Sandwiches;Italian;Restaurants;Pizza
1775,EX60HoNJRs3ALidmEGDgWA,"""Jimmy John's""",University City,"""350 E McCullough Dr""",Charlotte,NC,28263,35.3019365,-80.7491376,4.0,33,1,Delis;Sandwiches;Restaurants
1831,qBZGW8GM7mPuYxQ5lhl_eA,"""Tropical Smoothie Cafe""",,"""2435 W Hwy 160, Ste 104""",Tega Cay,SC,29708,35.0465989164,-80.9912919389,4.0,20,1,Juice Bars & Smoothies;Food;Restaurants;Cafes;Fast Food;Sandwiches
1897,CwRPGB3WzV3IE4IukRFI2g,"""Pizza Hut""",,"""8800 Pineville Matthews Rd""",Charlotte,NC,28226,35.089258,-80.8683306,2.0,11,1,Pizza;Chicken Wings;Italian;Restaurants
1992,ObcMSGc1uotvpnwydoStIg,"""Earl's Grocery""",Elizabeth,"""1609 Elizabeth Ave""",Charlotte,NC,28204,35.213641,-80.826168,4.5,152,1,Caterers;Restaurants;Grocery;Event Planning & Services;Beer;Wine & Spirits;Food;Specialty Food;Food Trucks;Convenience Stores;Breakfast & Brunch;Sandwiches
1996,-vP9rja8YzbRRTX5C1K3dQ,"""Tacos La Hidalguense""",,"""2635 Little Rock Rd""",Charlotte,NC,28214,35.242273,-80.937658,4.0,6,1,Mexican;Restaurants;Food;Food Trucks
2184,xlUoy-OVO-EgZzfiHJk1Hg,"""Wendy's""",Steele Creek,"""8720 Rachel Freeman Way""",Charlotte,NC,28278,35.1637880258,-80.9722954028,2.0,12,1,Restaurants;Fast Food;Burgers
2207,akPyWKARJ_-ZmnVBgpLyRw,"""Old Stone Steakhouse""",,"""23 S Main St""",Belmont,NC,28012,35.241715,-81.0378824,3.5,101,1,Restaurants;Steakhouses
2242,n5wZxYrle8ROuK-Saq-yyw,"""Luisa's Brick Oven""",,"""1730 Abbey Pl""",Charlotte,NC,28209,35.170641,-80.84658,4.0,93,1,Pizza;Restaurants
2262,QIcXq4Z3_2lvg9rmmoGF-A,"""Ruby Tuesday""",Starmount,"""8905 Red Oak Blvd""",Charlotte,NC,28217,35.1390711,-80.9082719,2.5,62,1,American (Traditional);Nightlife;Restaurants;Burgers;Bars;American (New)
2302,wEhtqcfrhVbg4--3DNUSZw,"""Buffalo Wild Wings""",,"""9402 Northlake W Dr, Ste 103""",Charlotte,NC,28216,35.3466584621,-80.8608346287,2.5,81,1,Chicken Wings;Restaurants;Sports Bars;Beer;Wine & Spirits;Food;Fast Food;Nightlife;Bars;American (Traditional)
2372,Y84fM25GsIWfS7E0dMIKDQ,"""Cedar Street Tavern""",Third Ward,"""120 N Cedar St, Ste 755""",Charlotte,NC,28202,35.2334512,-80.848997,3.5,62,1,Bars;Restaurants;American (Traditional);Nightlife;Arts & Entertainment
2437,gU9_PUEdOOoBaSM49SRObg,"""Parry's Pizzeria & Bar""",,"""6851 Northlake Mall Dr""",Charlotte,NC,28216,35.352549,-80.851181,3.5,15,1,Beer Bar;Nightlife;Pizza;Bars;Restaurants
2463,BE04tjYHMhaHRQbAiJ9JTg,"""Dunkin' Donuts""",,"""2267 Spider Dr NE""",Kannapolis,NC,28083,35.4646775311,-80.5921291057,2.5,7,1,Coffee & Tea;Restaurants;Donuts;Food
2502,kkvhQBT1Oh73sVSYZMXeDA,"""McDonald's""",Starmount,"""9505 South Blvd""",Charlotte,NC,28273,35.107271,-80.880374,1.0,8,1,Burgers;Fast Food;Restaurants
2503,y_9Nu0uJ-VgRbGZf_6g49w,"""Waiter's Choice Catering""",Starmount,"""8031 Arrowridge Blvd""",Charlotte,NC,28273,35.134436,-80.908506,5.0,6,1,Caterers;Active Life;Professional Services;Personal Assistants;Party & Event Planning;Restaurants;Event Planning & Services
2520,UONIdcsPnUSC1IZmlUUCeA,"""Tokyo Express""",,"""3375 Cloverleaf Pkwy""",Kannapolis,NC,28083,35.4478523,-80.6050342,4.0,6,1,Japanese;Restaurants
2564,npWIa3dIPEV1MTaZNq6AUA,"""Firebirds Wood Fired Grill""",,"""7716 Rea Rd""",Charlotte,NC,28277,35.0620547,-80.815844,4.0,261,1,American (New);Steakhouses;Wine Bars;American (Traditional);Nightlife;Bars;Seafood;Restaurants
2566,bxUtoCqGF9GbiPv5DbOs4g,"""Panera Bread""",Ballantyne,"""14835 Ballantyne Village Way""",Charlotte,NC,28277,35.053051,-80.850809,3.0,45,1,Restaurants;Food;Breakfast & Brunch;Bagels;Salad;Soup;Sandwiches
2652,lBf_TcBWS7XF-TA4qT8MgQ,"""The Wine Shop""",Steele Creek,"""14142 Rivergate Pkwy""",Charlotte,NC,28273,35.1023452,-80.9845723,4.0,117,1,Diners;Restaurants;Food;Nightlife;Bars;American (New);Wine Bars;Beer;Wine & Spirits
2685,SzaXTw4F1zk5qD3HVgUcfw,"""Food Lion""",,"""2526 Little Rock Rd""",Charlotte,NC,28214,35.245275,-80.93846,2.5,3,1,Sandwiches;Food;Restaurants;Grocery;Delis
2716,N6-dAWPTAaHqwRb94vXFCQ,"""Rizzo's Spaghetti House""",,"""8637 Charlotte Hwy""",Fort Mill,SC,29707,34.9649202,-80.8537612,3.0,55,1,Salad;Restaurants;Sandwiches;Italian
2752,XV_eSEqssPsDy2sQu_N68A,"""Papa John's Pizza""",,"""8139 Kensington Dr, Ste E""",Waxhaw,NC,28173,34.9547176,-80.7598035,2.5,6,1,Restaurants;Pizza
